185	石柱莼菜	65.00		1	3						https://detail.alitrip.com/item.htm?spm=a220m.1000858.1000725.1.n9MDJw&id=520308047820&areaId=500000&cat_id=2&rn=e716dc8fb2aaca0520b1d1dc0165bcef&user_id=2554391029&is_b=1		2016-07-13 15:40:20
186	奉节脐橙	68.00									https://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.1.0KFgcs&id=525903061889&areaId=500000&cat_id=2&rn=9499f46e4eb3af5fdd5eb22fd3910bc9&user_id=1870785190&is_b=1	此商品已下架	2016-07-13 15:40:23
187	奉节脐橙	39.00									https://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.0KFgcs&id=525605962836&areaId=500000&cat_id=2&rn=9499f46e4eb3af5fdd5eb22fd3910bc9&user_id=2430371252&is_b=1	此商品已下架	2016-07-13 15:40:25
188	奉节脐橙	89.00									https://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.5.0KFgcs&id=526434304544&areaId=500000&cat_id=2&rn=9499f46e4eb3af5fdd5eb22fd3910bc9&user_id=2430371252&is_b=1	此商品已下架	2016-07-13 15:40:27
215	石柱红辣椒	523106418353	11.80	9.80	451	1465						https://click.simba.taobao.com/cc_im?p=%CA%AF%D6%F9%BA%EC%C0%B1%BD%B7&s=1537042545&k=397&e=l%2FkwQLHiC2ITeJKjGP5hDFi3uKxuy%2B0P8zQqfVP048UPv9m42a8e1tRlqCCccABq9c9CP4VdiYosuLrcfj4uEP0CT1oMNH8Uou5EgcLCaAiHqNQWUF139MVJJk5rWluhUY8BlT%2BpHK0lAAicvC%2BAikRaslkvqYsmIDm8X5zP6qpy9lIAfEhCPyciFJPX3wyf3GtxN%2FxUByEvb6npCyxtqtkXiGbjju39tEBwDnE5udw%2BVysscqxkCsj2M6Lf9OKfcleKxomNYFiiu4U17sy8jVxXIMGIoo1WgFPYc7Pxu3H9P3jeJMVM0OmZGfA3laliGHkgwG7z2AP%2FCAxI8Ev%2BhtlIUSt%2BYs7rsapRXHudrcroymOBmOzk8myW3iafpSBMeX2CxkFbhsc%3D#detail	此宝贝已下架	2016-07-13 15:45:18
216	石柱红辣椒	10152552206	9.80		3550	7144						https://click.simba.taobao.com/cc_im?p=%CA%AF%D6%F9%BA%EC%C0%B1%BD%B7&s=737171187&k=377&e=t9xe9VamH0b1KrJji0Vz5%2BXgjBhq1m3TDivW7irXDQMySBjnz%2FN%2FOfDI7cbw84WF8Kb6mRfLVKjgItaVCqwhruAHQoXfRE6UygaH2z7TvGxmvgoFPgFdHNxnr3wbZ5lQSyVB9GPd%2FEkamdlGHF%2FDHbQT8QeyNYIaw6o5Y%2BLrbag1FqEbJ0JIL%2BveWC9BBj3hB9lQsm%2Bz5wYRu2aeEehLTbz5kM%2Btot0qyUliPqqUa8NqeQX1kS71wQvngnLONgK%2FKJjv4xWPHeG3SSdAWNHa8tdoRV3nMwAmif2YJ5PrRX8eS8tymuyQpv7wDSkOxwqHjYq28tkToPHhI0uKYNoErV1rNpwtrwEDwRXSNY3Q3K%2BE2iTaDxcZLQ%3D%3D#detail		2016-07-13 15:45:41
217	石柱红辣椒	35411889069	21.00	19.00	332	1682						https://click.simba.taobao.com/cc_im?p=%CA%AF%D6%F9%BA%EC%C0%B1%BD%B7&s=1446106677&k=429&e=O82%2FWFOdmF9zbtrSCmZ1QWH6%2FaSuUYgCaw0fu05UrDWBzUySlStdxP7%2BBxsA2FUuPXPLMiDg2Oqao%2BRgV7nLYHwmLklhJdLaQ%2BDD8jwjbTYp67Gbq68tPedMC9Wrua4GYhv35QdUXTfoDvO77oB22GU2XlSvSoZlSPeEA2UnCsefoX6cOx17dGPjbehJBzGaz4TWkdYASP7QVwECjPBRck%2B24fvSWxr%2BTtSp6xCJ142kGfYG8f65knz%2F3nAgp9zkNyrd7YzlfO3S6TAA%2FTSbCLG%2BnUU1fpITRwfaUXT7YUtst1RO5dFlGx9h93y%2FY0mRZCJe%2F57yxMHRSabOxvU8ci6EJOWiZjF91aIwYZM6Zt7aMm1N8V36B11hHchaQgrHpLwvl2OEOAGjjl4UzJAS9dj3XHwNMYig0glCE8PtL58%3D#detail		2016-07-13 15:46:01
218	石柱红辣椒	38184625258	19.80	9.70	331	1425						https://click.simba.taobao.com/cc_im?p=%CA%AF%D6%F9%BA%EC%C0%B1%BD%B7&s=1537042545&k=397&e=h5F6GSIF6nkTeJKjGP5hDFi3uKxuy%2B0P8zQqfVP048UPv9m42a8e1tRlqCCccABq9c9CP4VdiYo6pPluOXXkjHE7r6qpir6IBvdz2dW4%2BgmHqNQWUF139MVJJk5rWluhUY8BlT%2BpHK0lAAicvC%2BAikRaslkvqYsmIDm8X5zP6qpy9lIAfEhCPyciFJPX3wyf3GtxN%2FxUByFOO27jKHkRwft1uToyO%2B6tgwXZF6Y4eyw%2BVysscqxkCsj2M6Lf9OKfcleKxomNYFi%2Bf2TVwFBj8i%2Fx6o3VViyNz434P59bGbh3G3%2By1GfVpm0dsq7p%2FzcUF0Ubh%2BuMoN48SxaN5kC99K2%2F2jXrWLg2HkNB97u%2Fpzlf6lBX8ggKA67gkURPvuX84WOmERcSWEg%3D#detail		2016-07-13 15:46:05
222	城口蜂蜜	523966775785	325.00			2						https://item.taobao.com/item.htm?id=523966775785&ns=1&abbucket=3#detail		2016-07-13 15:46:30
223	城口蜂蜜	39579286322	90.00		1	3						https://item.taobao.com/item.htm?id=39579286322&ns=1&abbucket=3#detail		2016-07-13 15:46:50
224	城口山地鸡	522891999042	159.00			0						https://item.taobao.com/item.htm?id=522891999042&ns=1&abbucket=8#detail		2016-07-13 15:46:54
228	城口山地鸡	523042997650	58.00			0						https://item.taobao.com/item.htm?id=523042997650&ns=1&abbucket=8#detail		2016-07-13 15:47:14
234	开县锦橙	525402509534	48.00			5						https://item.taobao.com/item.htm?id=525402509534&ns=1&abbucket=8#detail	此宝贝已下架	2016-07-13 15:48:25
235	开县锦橙	45751448017	6.80			1						https://item.taobao.com/item.htm?id=45751448017&ns=1&abbucket=8#detail		2016-07-13 15:48:45
240	江津花椒	45419744347	9.80	7.60	502	964						https://item.taobao.com/item.htm?id=45419744347&ns=1&abbucket=8#detail		2016-07-13 15:49:07
242	江津花椒	45325587209	9.80	7.50	128	494						https://item.taobao.com/item.htm?id=45325587209&ns=1&abbucket=8#detail		2016-07-13 15:49:32
243	江津花椒	521145241464	19.80		103	578						https://click.simba.taobao.com/cc_im?p=%BD%AD%BD%F2%BB%A8%BD%B7&s=1563401527&k=397&e=929IYKok12QBLBaPHKIGTCLC%2F4VHcp61FlHi%2F6WoTt%2FGc8RIT3SByzLDO3EorlvW8lyV2jMMMyOWnrVys7y3NKBqAk55eaLaW9ZgFQNmNCxYc0IUYtxk%2FpA9pilduyzmc1nUZwT7T2drKUE4zfBuq9G1nd0DPpx5rTACChTcwm%2Fypnm5YRjQVisi70lhNQt3T4L3WineAqiEDQ8aUrfQce%2B3osX5HsK6cPum57LsiYw8a5BVrHJ92a4OwyvrlsOIDYirlG0XjruBkcWFbpKziVYWkknrR%2F5RpRspg1aItqCmQ1%2BNBbpacGNeetkHdHHoR%2B1c49qYXuR3pbHxsB1TlHctyVlhef67iW8QZVKXKB4jg1POo952jmwtXY7iPEyOXyLBiNSXPLM%3D#detail		2016-07-13 15:49:43
